k,nc,umap_n_components,NMI,embedding
20,6,4,0.7678293665814079,word2vec
19,6,4,0.767829366581408,word2vec
22,6,4,0.6936059252759694,word2vec
21,6,4,0.7701165600035007,word2vec
21,6,4,0.7701165600035007,word2vec
20,6,4,0.7678293665814079,word2vec
23,6,4,0.6936059252759695,word2vec
21,6,4,0.7701165600035007,word2vec
24,6,4,0.6728761368229336,word2vec
20,6,8,0.6907612095485811,word2vec
33,6,4,0.6767018101458407,word2vec
22,6,4,0.6936059252759694,word2vec
19,6,4,0.767829366581408,word2vec
21,6,4,0.7701165600035007,word2vec
21,6,4,0.7701165600035007,word2vec
22,6,4,0.6936059252759694,word2vec
18,6,4,0.6955568125622774,word2vec
20,6,4,0.7678293665814079,word2vec
23,6,2,0.6680029676785455,word2vec
19,6,4,0.767829366581408,word2vec
21,6,4,0.7701165600035007,word2vec
22,6,4,0.6936059252759694,word2vec
20,6,16,0.6790137087500648,word2vec
21,6,4,0.7701165600035007,word2vec
21,6,4,0.7701165600035007,word2vec
22,6,4,0.6936059252759694,word2vec
23,6,4,0.6936059252759695,word2vec
20,6,4,0.7678293665814079,word2vec
19,6,4,0.767829366581408,word2vec
21,6,4,0.7701165600035007,word2vec
22,6,4,0.6936059252759694,word2vec
20,6,4,0.7678293665814079,word2vec
44,6,16,0.7392975963339518,tfidf
23,6,2,0.5888039737987772,tfidf
50,6,16,0.7312475585190581,tfidf
49,6,16,0.738033706303634,tfidf
26,6,16,0.7392975963339518,tfidf
27,6,8,0.6725184646823427,tfidf
18,6,4,0.6626758091325939,tfidf
5,6,4,0.6123373375359081,tfidf
39,6,8,0.7306972260607064,tfidf
22,6,8,0.6739707137622396,tfidf
37,6,2,0.5838519800722245,tfidf
36,6,16,0.7366229183094695,tfidf
11,6,16,0.7675955327303924,tfidf
13,6,16,0.7675955327303924,tfidf
10,6,16,0.7406371143689295,tfidf
14,6,16,0.6988944843724263,tfidf
5,6,16,0.6741964459697816,tfidf
13,6,4,0.6626758091325939,tfidf
17,6,2,0.4476374257503183,tfidf
32,6,16,0.7366229183094695,tfidf
9,6,16,0.7406371143689296,tfidf
11,6,16,0.7675955327303924,tfidf
10,6,16,0.7406371143689295,tfidf
18,6,16,0.7529609284001858,tfidf
14,6,16,0.6988944843724263,tfidf
7,6,16,0.6432876900734136,tfidf
13,6,4,0.6626758091325939,tfidf
20,6,8,0.6739707137622396,tfidf
31,6,2,0.5838519800722245,tfidf
16,6,16,0.7053052232682159,tfidf
10,6,16,0.7406371143689295,tfidf
18,6,16,0.7529609284001858,tfidf
23,6,16,0.7529609284001858,tfidf
11,6,16,0.7675955327303924,tfidf
8,6,16,0.6426653747179429,tfidf
13,6,16,0.7675955327303924,tfidf
21,6,2,0.5888039737987774,tfidf
11,6,16,0.7675955327303924,tfidf
25,6,16,0.7529609284001858,tfidf
7,6,8,0.7426299391174086,tfidf
44,6,4,0.6839573804481783,tfidf
12,6,16,0.7675955327303924,tfidf
16,6,16,0.7053052232682159,tfidf
15,6,16,0.6988944843724263,tfidf
5,6,16,0.6741964459697816,tfidf
8,6,16,0.6426653747179429,tfidf
20,6,8,0.6739707137622396,tfidf
12,6,16,0.7675955327303924,tfidf
25,6,2,0.5888039737987772,tfidf
7,6,4,0.6768741177340056,tfidf
15,6,16,0.6988944843724263,tfidf
11,6,16,0.7675955327303924,tfidf
12,6,16,0.7675955327303924,tfidf
10,6,16,0.7406371143689295,tfidf
14,6,16,0.6988944843724263,tfidf
18,6,16,0.7529609284001858,tfidf
9,6,16,0.7406371143689296,tfidf
5,6,16,0.6741964459697816,tfidf
11,6,16,0.7675955327303924,tfidf
13,6,8,0.7418945780379029,tfidf
16,6,4,0.6626758091325939,tfidf
12,6,16,0.7675955327303924,tfidf
8,6,16,0.6426653747179429,tfidf
11,6,16,0.7675955327303924,tfidf
14,6,16,0.6988944843724263,tfidf
9,6,16,0.7406371143689296,tfidf
6,6,2,0.673209169789918,tfidf
31,6,16,0.7366229183094695,tfidf
19,6,16,0.7529609284001858,tfidf
48,6,16,0.7392975963339518,tfidf
17,6,16,0.7053052232682159,tfidf
12,6,16,0.7675955327303924,tfidf
13,6,16,0.7675955327303924,tfidf
10,6,16,0.7406371143689295,tfidf
15,6,16,0.6988944843724263,tfidf
12,6,16,0.7675955327303924,tfidf
9,6,8,0.7483270335882712,tfidf
14,6,16,0.6988944843724263,tfidf
7,6,2,0.673209169789918,tfidf
11,6,4,0.5951045095770084,tfidf
16,6,16,0.7053052232682159,tfidf
11,6,16,0.7675955327303924,tfidf
13,6,16,0.7675955327303924,tfidf
9,6,16,0.7406371143689296,tfidf
10,6,16,0.7406371143689295,tfidf
8,6,16,0.6426653747179429,tfidf
6,6,16,0.6558126899342841,tfidf
15,6,16,0.6988944843724263,tfidf
13,6,16,0.7675955327303924,tfidf
17,6,16,0.7053052232682159,tfidf
11,6,8,0.7426299391174086,tfidf
12,6,16,0.7675955327303924,tfidf
11,6,16,0.7675955327303924,tfidf
12,6,16,0.7675955327303924,tfidf
14,6,16,0.6988944843724263,tfidf
28,6,16,0.7392975963339518,tfidf
9,6,16,0.7406371143689296,tfidf
40,6,4,0.6839573804481783,tfidf
15,6,2,0.4476374257503183,tfidf
8,6,16,0.6426653747179429,tfidf
12,6,16,0.7675955327303924,tfidf
10,6,16,0.7406371143689295,tfidf
11,6,16,0.7675955327303924,tfidf
13,6,16,0.7675955327303924,tfidf
10,6,16,0.7406371143689295,tfidf
7,6,16,0.6432876900734136,tfidf
6,6,16,0.6558126899342841,tfidf
14,6,16,0.6988944843724263,tfidf
12,6,16,0.7675955327303924,tfidf
17,6,16,0.7053052232682159,tfidf
11,6,8,0.7426299391174086,tfidf
12,6,16,0.7675955327303924,tfidf
13,6,16,0.7675955327303924,tfidf
9,6,16,0.7406371143689296,tfidf
10,6,16,0.7406371143689295,tfidf
14,6,16,0.6988944843724263,tfidf
8,6,16,0.6426653747179429,tfidf
16,6,4,0.6626758091325939,tfidf
13,6,2,0.4476374257503184,tfidf
15,6,16,0.6988944843724263,tfidf
11,6,16,0.7675955327303924,tfidf
12,6,16,0.7675955327303924,tfidf
10,6,16,0.7406371143689295,tfidf
11,6,16,0.7675955327303924,tfidf
9,6,16,0.7406371143689296,tfidf
34,6,16,0.7366229183094695,tfidf
12,6,16,0.7675955327303924,tfidf
14,6,16,0.6988944843724263,tfidf
11,6,16,0.7675955327303924,tfidf
13,6,16,0.7675955327303924,tfidf
8,6,16,0.6426653747179429,tfidf
12,6,16,0.7675955327303924,tfidf
10,6,16,0.7406371143689295,tfidf
13,6,16,0.7675955327303924,tfidf
15,6,16,0.6988944843724263,tfidf
9,6,16,0.7406371143689296,tfidf
11,6,16,0.7675955327303924,tfidf
12,6,16,0.7675955327303924,tfidf
14,6,8,0.6645170458882383,tfidf
11,6,16,0.7675955327303924,tfidf
10,6,4,0.617449373946548,tfidf
13,6,16,0.7675955327303924,tfidf
12,6,16,0.7675955327303924,tfidf
13,6,16,0.7675955327303924,tfidf
9,6,16,0.7406371143689296,tfidf
14,6,16,0.6988944843724263,tfidf
23,6,2,0.5888039737987772,tfidf
16,6,16,0.7053052232682159,tfidf
11,6,16,0.7675955327303924,tfidf
10,6,16,0.7406371143689295,tfidf
7,6,16,0.6432876900734136,tfidf
12,6,16,0.7675955327303924,tfidf
13,6,16,0.7675955327303924,tfidf
12,6,16,0.7675955327303924,tfidf
11,6,16,0.7675955327303924,tfidf
15,6,16,0.6988944843724263,tfidf
10,6,16,0.7406371143689295,tfidf
14,6,16,0.6988944843724263,tfidf
12,6,16,0.7675955327303924,tfidf
9,6,16,0.7406371143689296,tfidf
13,6,8,0.7418945780379029,tfidf
11,6,16,0.7675955327303924,tfidf
11,6,16,0.7675955327303924,tfidf
10,6,16,0.7406371143689295,tfidf
12,6,16,0.7675955327303924,tfidf
13,6,16,0.7675955327303924,tfidf
29,6,16,0.7392975963339518,tfidf
8,6,16,0.6426653747179429,tfidf
11,6,16,0.7675955327303924,tfidf
14,6,16,0.6988944843724263,tfidf
10,6,4,0.617449373946548,tfidf
13,6,16,0.7675955327303924,tfidf
12,6,16,0.7675955327303924,tfidf
13,6,16,0.7675955327303924,tfidf
15,6,16,0.6988944843724263,tfidf
12,6,16,0.7675955327303924,tfidf
10,6,2,0.6283892599759652,tfidf
11,6,16,0.7675955327303924,tfidf
9,6,16,0.7406371143689296,tfidf
42,6,16,0.7392975963339518,tfidf
47,6,16,0.7392975963339518,tfidf
13,6,16,0.7675955327303924,tfidf
12,6,16,0.7675955327303924,tfidf
14,6,16,0.6988944843724263,tfidf
11,6,16,0.7675955327303924,tfidf
13,6,16,0.7675955327303924,tfidf
16,6,16,0.7053052232682159,tfidf
12,6,16,0.7675955327303924,tfidf
10,6,16,0.7406371143689295,tfidf
14,6,16,0.6988944843724263,tfidf
11,6,16,0.7675955327303924,tfidf
12,6,16,0.7675955327303924,tfidf
13,6,16,0.7675955327303924,tfidf
11,6,16,0.7675955327303924,tfidf
12,6,16,0.7675955327303924,tfidf
13,6,16,0.7675955327303924,tfidf
15,6,8,0.6645170458882383,tfidf
9,6,16,0.7406371143689296,tfidf
10,6,16,0.7406371143689295,tfidf
12,6,16,0.7675955327303924,tfidf
7,6,4,0.7091756422299625,fasttext
9,6,2,0.4630345399477403,fasttext
30,6,4,0.7930887702502931,fasttext
19,6,4,0.7946629090780877,fasttext
23,6,16,0.8147332454423606,fasttext
20,6,8,0.7946629090780877,fasttext
19,6,2,0.8031355361953316,fasttext
5,6,16,0.8108996581302499,fasttext
40,6,8,0.7946629090780877,fasttext
17,6,2,0.8031355361953316,fasttext
44,6,16,0.8108996581302499,fasttext
32,6,16,0.7931224656048964,fasttext
6,6,16,0.8108996581302499,fasttext
36,6,16,0.7930581157429416,fasttext
50,6,16,0.8108996581302499,fasttext
26,6,16,0.7975440702512602,fasttext
13,6,16,0.8269011437591597,fasttext
13,6,16,0.8269011437591597,fasttext
13,6,8,0.8285167639981971,fasttext
13,6,8,0.8285167639981971,fasttext
13,6,8,0.8285167639981971,fasttext
13,6,8,0.8285167639981971,fasttext
12,6,8,0.6983289157438131,fasttext
24,6,8,0.7946629090780878,fasttext
10,6,8,0.7091756422299625,fasttext
