perplexity,MinPts,probability,umap_n_components,NMI,embedding
26,2,0.9970728109490741,8,0.6358591069898075,BERT
23,7,0.997062127146935,8,0.6502871924573216,BERT
24,6,0.9970779356394623,8,0.6293122097243788,BERT
22,4,0.9970667963427895,8,0.6437851548280594,BERT
23,5,0.9970686281944385,8,0.6502871924573216,BERT
23,5,0.997070839480594,8,0.6502871924573216,BERT
25,30,0.9970651623865431,8,0.6140502387939774,BERT
24,3,0.997067964238285,8,0.6293122097243788,BERT
21,8,0.9970636288549075,8,0.6332713853712454,BERT
22,4,0.9970730494998753,8,0.6437851548280594,BERT
25,6,0.9970748312390442,8,0.6293122097243788,BERT
24,5,0.9970812811334948,8,0.6293122097243788,BERT
23,7,0.9970689209031818,2,0.6202478683908135,BERT
20,4,0.9970594199689363,8,0.6338902443654612,BERT
23,2,0.9970737589578282,8,0.6502871924573216,BERT
22,3,0.9970713226187635,8,0.6437851548280594,BERT
24,3,0.997065894340227,8,0.6293122097243788,BERT
23,6,0.997067445641464,8,0.6502871924573216,BERT
21,1,0.997076213413576,8,0.6338902443654613,BERT
23,5,0.997069533320093,8,0.6502871924573216,BERT
4,4,0.9970639590965712,8,0.40976904194114105,BERT
22,3,0.9970721522262501,8,0.6437851548280594,BERT
24,2,0.9970657303197898,4,0.6175806812838589,BERT
22,11,0.997062131961125,8,0.6408558760403438,BERT
23,6,0.9970648190216282,8,0.6502871924573216,BERT
23,5,0.9970678379317004,8,0.6502871924573216,BERT
25,5,0.997069915398818,8,0.6293122097243788,BERT
24,6,0.9970644086737731,8,0.6293122097243788,BERT
22,14,0.997074354426433,8,0.6408558760403438,BERT
23,4,0.997061401637627,16,0.6267667365499915,BERT
24,7,0.9970669556835846,8,0.6293122097243788,BERT
22,6,0.9970581286045245,8,0.6437851548280594,BERT
21,8,0.9970713293115128,8,0.6332713853712454,BERT
23,4,0.9970688797808029,8,0.6502871924573216,BERT
23,6,0.9970663490540709,8,0.6502871924573216,BERT
24,5,0.9970652118098723,8,0.6293122097243788,BERT
23,5,0.9970627307985467,8,0.6502871924573216,BERT
25,7,0.9970700010393094,8,0.6293122097243788,BERT
22,6,0.9970674699603115,8,0.6437851548280594,BERT
23,3,0.9970641803218562,8,0.6502871924573216,BERT
24,5,0.997072936673117,8,0.6293122097243788,BERT
22,6,0.9970787291424964,8,0.6437851548280594,BERT
23,18,0.9970610535466968,8,0.638048707957256,BERT
21,7,0.9970655730241786,2,0.609703979580574,BERT
23,1,0.9970756536673111,8,0.6502871924573216,BERT
24,1,0.9970687133091418,8,0.6293122097243788,BERT
22,1,0.9970767674595122,8,0.6437851548280594,BERT
23,2,0.9970825142875556,8,0.6502871924573216,BERT
24,28,0.9970712821327027,8,0.6190245458383248,BERT
22,4,0.9970774865753099,8,0.6437851548280594,BERT
23,2,0.9970674637852887,8,0.6502871924573216,BERT
30,12,0.9970703299308221,8,0.6334242357997082,BERT
24,3,0.9970799941442876,8,0.6293122097243788,BERT
