min_cluster_size,min_samples,umap_n_components,NMI,embedding
32,171,8,0.5578778784642895,tfidf
34,160,16,0.31654073511494357,tfidf
135,44,8,0.5255507848798225,tfidf
41,186,8,0.5421769375459708,tfidf
22,171,8,0.5578778784642895,tfidf
9,154,8,0.5537414128208195,tfidf
33,167,8,0.5543331125841741,tfidf
47,136,8,0.5181190564671678,tfidf
60,188,8,0.5293382734695203,tfidf
18,150,2,0.23913012188742375,tfidf
52,128,8,0.5168069520712939,tfidf
30,161,8,0.5544074481652886,tfidf
8,172,4,0.31388273458208854,tfidf
188,141,8,0.520443606883357,tfidf
24,173,8,0.5555644888441899,tfidf
21,178,8,0.5530903677352511,tfidf
40,195,8,0.5361942200470582,tfidf
10,156,8,0.5545881962899356,tfidf
31,162,16,0.3162588179180324,tfidf
41,21,8,0.5178961279643225,tfidf
70,184,8,0.5319142033647841,tfidf
23,148,2,0.4225030915583352,tfidf
157,166,8,0.5370883670299683,tfidf
50,173,8,0.5555644888441899,tfidf
24,174,8,0.5529284593601755,tfidf
13,189,8,0.5409331104997475,tfidf
35,157,8,0.5554169806279728,tfidf
5,178,8,0.5530903677352511,tfidf
26,166,8,0.5532705960560469,tfidf
20,172,4,0.31388273458208854,tfidf
92,181,8,0.5308609630734338,tfidf
44,147,16,0.31897661763364166,tfidf
57,60,8,0.5352643667789404,tfidf
29,139,8,0.5195204945423099,tfidf
47,171,8,0.5578778784642895,tfidf
36,157,8,0.5554169806279728,tfidf
66,169,8,0.5356192231215797,tfidf
43,164,8,0.5510926412858449,tfidf
38,190,8,0.5402915765686365,tfidf
78,152,8,0.5316614573885027,tfidf
13,181,2,0.2414961074308649,tfidf
48,159,8,0.5551631260145696,tfidf
27,176,8,0.5544941429634995,tfidf
21,133,4,0.3147778327922762,tfidf
51,170,8,0.5521009804027781,tfidf
57,171,8,0.5578778784642895,tfidf
111,183,8,0.5314325790085376,tfidf
60,164,8,0.5366400077696184,tfidf
34,175,8,0.5547931364145591,tfidf
31,154,8,0.5537414128208195,tfidf
55,160,8,0.5391988935920237,tfidf
67,144,16,0.5032874908999503,tfidf
38,84,8,0.5151156634436134,tfidf
44,168,8,0.5567827670521461,tfidf
45,170,8,0.5521009804027781,tfidf
53,164,8,0.5510926412858449,tfidf
17,192,8,0.54004015291857,tfidf
25,149,8,0.556376225153383,tfidf
40,150,8,0.5574932340359003,tfidf
42,143,8,0.5215913164306789,tfidf
48,151,8,0.5565647625440086,tfidf
62,148,2,0.23840332233360348,tfidf
77,127,8,0.5167146585100063,tfidf
56,155,8,0.5527459502988529,tfidf
47,151,8,0.5565647625440086,tfidf
50,150,8,0.5574932340359003,tfidf
49,135,8,0.5212565021756377,tfidf
46,150,8,0.5574932340359003,tfidf
37,159,8,0.5551631260145696,tfidf
45,139,8,0.5195204945423099,tfidf
