k,nc,umap_n_components,NMI,embedding
27,6,4,0.47729291331491797,fasttext
30,6,16,0.5534140378639115,fasttext
33,6,16,0.5531555716835505,fasttext
36,6,16,0.5137592145848263,fasttext
28,6,8,0.429713931250426,fasttext
31,6,16,0.5256312886924907,fasttext
30,6,16,0.5534140378639115,fasttext
32,6,16,0.5462439648618014,fasttext
47,6,16,0.4673426562195024,fasttext
29,6,16,0.5358696350967465,fasttext
26,6,16,0.5112829463768211,fasttext
34,6,16,0.4951744878189802,fasttext
30,6,16,0.5534140378639115,fasttext
28,6,16,0.5343230324957299,fasttext
24,6,4,0.5129072879441253,fasttext
31,6,16,0.5256312886924907,fasttext
29,6,16,0.5358696350967465,fasttext
30,6,16,0.5534140378639115,fasttext
32,6,16,0.5462439648618014,fasttext
27,6,16,0.5304394916039592,fasttext
12,6,16,0.41646011939041094,fasttext
29,6,2,0.4879353008051643,fasttext
