n_clusters,epsilon,umap_n_components,NMI,embedding
4,0.8057898773642339,2,0.0,word2vec
4,0.8612998599034334,8,0.0,word2vec
4,0.96751351476153,16,0.0,word2vec
4,0.41362351186994073,8,0.0,word2vec
4,0.9416503989335849,16,0.0,word2vec
4,0.9689483157784929,16,0.0,word2vec
4,0.9857026517655414,16,0.0,word2vec
4,0.6497427722639727,16,0.0,word2vec
4,0.4882683074706009,16,0.0,word2vec
4,0.36038383916827427,2,0.0,word2vec
4,0.9020126008435758,4,0.0,word2vec
4,0.7001329756402446,16,0.0,word2vec
4,0.3059478000950742,8,0.0,word2vec
4,0.9502793854765739,2,0.0,word2vec
4,0.839823307562028,8,0.0,word2vec
4,0.8713809046301817,8,0.0,word2vec
4,0.43764308490643894,8,0.0,word2vec
4,0.8872146790103571,8,0.0,word2vec
4,0.607432227339092,8,0.0,word2vec
4,0.7608430204989353,4,0.0,word2vec
4,0.8235787284192166,16,0.0,word2vec
4,0.9226282395799452,8,0.0,word2vec
4,0.4637278844186242,2,0.0,word2vec
4,0.3814594895376633,16,0.0,word2vec
4,0.5480438381361941,4,0.0,word2vec
4,0.6809099614659531,4,0.0,word2vec
4,0.6377635998114946,4,0.0,word2vec
4,0.5234763258281223,4,0.0,word2vec
4,0.7316486827705102,8,0.0,word2vec
4,0.5668949129035358,4,0.0,word2vec
4,0.7953777744388376,16,0.0,word2vec
4,0.850092473061368,2,0.0,word2vec
4,0.40820438796703956,8,0.0,word2vec
4,0.2239096174380929,16,0.0,word2vec
4,0.7004960714216119,16,0.0,word2vec
4,0.999299352270936,16,0.0,word2vec
4,0.7753317499116388,16,0.0,word2vec
4,0.6024330402981204,16,0.0,word2vec
4,0.755817968386323,4,0.0,word2vec
4,0.9763665519029474,8,0.0,word2vec
4,0.7307800226006709,16,0.0,word2vec
4,0.8117490394831093,2,0.0,word2vec
4,0.6224614441081516,16,0.0,word2vec
4,0.9395225749809116,8,0.0,word2vec
4,0.5083756320182935,8,0.0,word2vec
4,0.43436037262373384,8,0.0,word2vec
4,0.356479480159729,8,0.0,word2vec
4,0.5787418787615016,8,0.0,word2vec
4,0.6473347232960278,2,0.0,word2vec
4,0.3931663509791577,8,0.0,word2vec
4,0.9076864266275885,16,0.0,word2vec
4,0.676521772901026,4,0.0,word2vec
4,0.9599161222500434,8,0.0,word2vec
