min_samples,eps,umap_n_components,NMI,embedding
10,0.4642905177007034,16,0.27346212329442304,word2vec
10,0.4554792727383649,16,0.4649557571583634,word2vec
10,0.48490833964695246,16,0.2745095054056677,word2vec
10,0.45731264444429925,16,0.4649557571583634,word2vec
10,0.40657964007812236,16,0.45393370056307353,word2vec
10,0.4298147094303876,16,0.4644622968104959,word2vec
10,0.4996782024042863,16,0.27680794701722744,word2vec
10,0.4529836268616768,16,0.4655102530089934,word2vec
10,0.5381468922236703,16,0.27833990984634893,word2vec
10,0.47602368707481824,16,0.2745095054056677,word2vec
10,0.4530359084653628,16,0.4655102530089934,word2vec
10,0.43952040449537466,16,0.46554269356954453,word2vec
10,0.4336460712277498,16,0.4644622968104959,word2vec
10,0.4003253476458287,16,0.45169295528859515,word2vec
10,0.4792992418400569,16,0.2745095054056677,word2vec
10,0.4377113364704786,16,0.464919306083731,word2vec
10,0.46334711451883576,16,0.4663774320964978,word2vec
10,0.5074934025918398,16,0.27680794701722744,word2vec
10,0.4710336032891308,16,0.27452513504761994,word2vec
10,0.48862969123881017,16,0.2745095054056677,word2vec
10,0.455016792128391,16,0.4649557571583634,word2vec
10,0.42382444040115,16,0.46215706468434736,word2vec
10,0.44250417309864426,16,0.46342955819853754,word2vec
10,0.46429079317096217,16,0.27346212329442304,word2vec
10,0.41229655549601957,16,0.45683314083386917,word2vec
10,0.4891573481966855,2,0.013021774663673573,word2vec
10,0.454814286199366,16,0.4655102530089934,word2vec
10,0.43659501992699706,16,0.4644622968104959,word2vec
10,0.47346719751989796,16,0.2737854015121996,word2vec
6,0.12071740726178783,16,0.2993592040693466,tfidf
8,0.5297654284028568,4,0.03125578964915429,tfidf
9,0.4748999750827402,16,0.45198048962678694,tfidf
6,0.2009236067039377,16,0.38005639986447376,tfidf
9,0.3305022935866368,4,0.520341045453121,tfidf
9,0.9423679754618616,16,0.002737772993525331,tfidf
7,0.6072907881314863,8,0.037079471308270384,tfidf
6,0.3788737782772872,8,0.5163238342600702,tfidf
9,0.6784110641083438,16,0.01077248626645006,tfidf
9,0.3739922642304483,16,0.5033330672738997,tfidf
10,0.2453788889224529,4,0.4286292847638603,tfidf
5,0.3319631362130061,8,0.4949917058566439,tfidf
7,0.35939896337829647,2,0.34189281887369277,tfidf
5,0.12290088377467634,4,0.33962251454305875,tfidf
8,0.44028176127788043,8,0.5313266574259345,tfidf
8,0.47178538331904113,2,0.024114849638998962,tfidf
10,0.2579566740954716,4,0.43506468637909684,tfidf
8,0.6712174947407175,8,0.013395839896194752,tfidf
10,0.4532072550896177,4,0.46889240319573505,tfidf
7,0.302162297222595,8,0.4870099198372945,tfidf
8,0.22919523688343807,2,0.5209590594312836,tfidf
8,0.20045664158615378,2,0.5147947682610242,tfidf
9,0.2733892935230412,2,0.46274224042144413,tfidf
8,0.41233603214291015,2,0.024114849638998962,tfidf
7,0.3099948217880433,8,0.49111230395697675,tfidf
9,0.17628715334414155,2,0.4906812251277457,tfidf
8,0.3960896908332378,4,0.47181696692849706,tfidf
10,0.2424300033442597,4,0.42704870147460905,tfidf
9,0.3278078409441179,2,0.35432081766507784,tfidf
7,0.156255230983573,8,0.3288405253649165,tfidf
8,0.10432900966762247,4,0.2776974813049755,tfidf
6,0.3772466508658802,8,0.5162492210306416,tfidf
6,0.42599655324581903,8,0.5345949831081734,tfidf
5,0.5100452986971993,8,0.2574400790254728,tfidf
8,0.44263321446419823,8,0.5317240104233719,tfidf
7,0.4494073995025515,8,0.5424444396056974,tfidf
6,0.5356045275265477,8,0.34857167100582914,tfidf
7,0.4337547300875874,8,0.5340701373733898,tfidf
6,0.48340356821111763,8,0.4670295004434711,tfidf
7,0.4270549561268619,8,0.5339066409518827,tfidf
7,0.5626431782829114,8,0.34695278097981647,tfidf
