n_clusters,tsne_n_components,NMI,embedding
5,2,0.7986749283934244,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7995657004069958,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.799565700406996,word2vec
5,2,0.7994557084396544,word2vec
5,2,0.8003464621645017,word2vec
5,2,0.7995657004069959,word2vec
5,8,0.6455025679690203,word2vec
5,2,0.7995657004069959,word2vec
5,16,0.541441664013059,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.798674928393424,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.798674928393424,word2vec
5,2,0.799565700406996,word2vec
3,2,0.6313473958358352,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,4,0.723788613068262,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934244,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934244,word2vec
5,2,0.7986749283934242,word2vec
5,8,0.6454977025807085,word2vec
4,16,0.2972630455407728,tfidf
2,2,0.3780146226824711,tfidf
2,8,0.27306786279705014,tfidf
2,2,0.3780146226824711,tfidf
4,8,0.36707267664375165,tfidf
2,8,0.27110476139145434,tfidf
5,16,0.29965926560013195,tfidf
3,16,0.3112202997739311,tfidf
4,16,0.3003308351724399,tfidf
6,16,0.32066544288120663,tfidf
3,2,0.602467783081636,tfidf
3,2,0.602467783081636,tfidf
3,4,0.31585278783544196,tfidf
3,2,0.602467783081636,tfidf
3,2,0.6024677830816361,tfidf
5,2,0.7612954839508559,tfidf
5,4,0.315896103211481,tfidf
5,2,0.7612954839508559,tfidf
6,2,0.7223821585944414,tfidf
5,2,0.7618459064068431,tfidf
5,4,0.3168909831508199,tfidf
5,2,0.7618459064068431,tfidf
6,2,0.7244434965010694,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508559,tfidf
6,2,0.7244434965010695,tfidf
4,2,0.6989833219509664,tfidf
5,2,0.7618459064068431,tfidf
6,8,0.3720923435502895,tfidf
4,4,0.32969231994020004,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508558,tfidf
4,2,0.6958161546370046,tfidf
5,2,0.7612954839508558,tfidf
6,2,0.7223821585944418,tfidf
4,8,0.3842885403898825,tfidf
5,2,0.7612954839508559,tfidf
5,8,0.36982547332191656,tfidf
6,16,0.30527240451606236,tfidf
4,2,0.6958938855672648,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508559,tfidf
4,16,0.2998046748331903,tfidf
6,2,0.7254163185369265,tfidf
5,2,0.7612954839508558,tfidf
5,4,0.3163427621068833,tfidf
4,8,0.3852064411392152,tfidf
2,16,0.2536382986996476,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.761295483950856,tfidf
6,2,0.7223821585944414,tfidf
5,2,0.7618459064068432,tfidf
5,2,0.7612954839508559,tfidf
6,2,0.7210698156700842,tfidf
4,2,0.6994674919493773,tfidf
5,4,0.31211169481744594,tfidf
5,2,0.761295483950856,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.761295483950856,tfidf
5,2,0.7618459064068432,tfidf
5,2,0.7612954839508559,tfidf
6,2,0.7213344793790303,tfidf
5,2,0.7612954839508559,tfidf
4,8,0.3892605639655532,tfidf
5,16,0.3189684944650505,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.761295483950856,tfidf
5,2,0.7612954839508559,tfidf
6,4,0.36294626774345057,tfidf
4,2,0.6994674919493773,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7618459064068432,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7612954839508558,tfidf
5,8,0.3587890179434285,tfidf
5,2,0.7612954839508558,tfidf
4,16,0.301733418927435,tfidf
6,2,0.7249276968622395,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7649515372574851,tfidf
5,2,0.7612954839508559,tfidf
5,4,0.3149571260358854,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508559,tfidf
2,2,0.3780146226824711,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.761295483950856,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7618459064068432,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7623558410072198,tfidf
5,2,0.7612954839508559,tfidf
5,8,0.3607649705694932,tfidf
5,2,0.7612954839508559,tfidf
3,16,0.315944562005128,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7618459064068431,tfidf
5,4,0.3074028559712938,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.761295483950856,tfidf
5,2,0.761295483950856,tfidf
5,2,0.7612954839508559,tfidf
5,8,0.36502460952081706,tfidf
6,2,0.72348807397813,tfidf
5,2,0.7620736163466463,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7605289739625587,tfidf
5,16,0.3078129361677017,tfidf
5,2,0.761295483950856,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.761295483950856,tfidf
5,2,0.7598215430942916,tfidf
5,2,0.7612954839508559,tfidf
5,4,0.3176980150900094,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7618459064068431,tfidf
4,2,0.6994674919493773,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.761295483950856,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7618459064068432,tfidf
5,2,0.7618459064068432,tfidf
5,2,0.7618459064068432,tfidf
5,8,0.3627996865471144,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.761295483950856,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.761295483950856,tfidf
5,2,0.7612954839508559,tfidf
5,16,0.29962481854725304,tfidf
3,2,0.602467783081636,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7605754826867996,tfidf
5,2,0.7618459064068432,tfidf
5,2,0.7612954839508559,tfidf
5,4,0.30921950029254713,tfidf
5,2,0.761295483950856,tfidf
5,2,0.761295483950856,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.761295483950856,tfidf
5,2,0.761295483950856,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508559,tfidf
5,8,0.35370429189172686,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.7623558410072198,tfidf
5,2,0.7618459064068431,tfidf
5,2,0.761295483950856,tfidf
5,2,0.7612954839508558,tfidf
5,2,0.7612954839508559,tfidf
5,2,0.761295483950856,tfidf
5,2,0.761295483950856,tfidf
5,16,0.30078576955341235,tfidf
6,4,0.7165666606466596,fasttext
2,4,0.3505240071510423,fasttext
5,2,0.8102775921891537,fasttext
2,4,0.3505341467924359,fasttext
3,8,0.533682827429714,fasttext
6,16,0.47433594972146637,fasttext
3,16,0.46089825121718986,fasttext
2,4,0.3505274742300539,fasttext
6,8,0.6481203809395055,fasttext
5,2,0.8102775921891539,fasttext
4,2,0.7626165730461509,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.810277592189154,fasttext
5,2,0.8102775921891537,fasttext
4,2,0.7626165730461509,fasttext
5,2,0.8102775921891536,fasttext
4,2,0.7626165730461509,fasttext
5,2,0.8102775921891537,fasttext
3,16,0.4491241971173899,fasttext
6,8,0.6463942122051791,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
4,2,0.7626165730461509,fasttext
5,2,0.8102775921891536,fasttext
6,2,0.7717558801054422,fasttext
4,2,0.7626165730461509,fasttext
5,2,0.8102775921891537,fasttext
5,8,0.6880082344193659,fasttext
6,16,0.4641032293840718,fasttext
4,4,0.6498500285368017,fasttext
6,2,0.7717558801054423,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891536,fasttext
6,4,0.7152669576101153,fasttext
4,2,0.7626165730461509,fasttext
4,2,0.7626165730461509,fasttext
5,16,0.4830073902092729,fasttext
3,4,0.5277151718215978,fasttext
6,8,0.6478310886271204,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891537,fasttext
6,2,0.7580516175409772,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
4,16,0.4725141034288758,fasttext
6,8,0.6519481373165313,fasttext
4,4,0.6480213660514987,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
2,2,0.4609005368127251,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891539,fasttext
4,2,0.762616573046151,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8110349791140531,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891536,fasttext
5,16,0.5188755623065595,fasttext
6,8,0.6519481373165313,fasttext
4,2,0.7626165730461509,fasttext
5,2,0.8102775921891536,fasttext
6,2,0.7587636929733745,fasttext
4,4,0.6504183839031233,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
6,16,0.4589594272453992,fasttext
3,8,0.5351076814935463,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.810277592189154,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891539,fasttext
5,4,0.7655655229430341,fasttext
6,2,0.7590519171262381,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.810277592189154,fasttext
5,2,0.8102775921891539,fasttext
4,16,0.4742228592567088,fasttext
5,8,0.6878486768771122,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891539,fasttext
2,4,0.3505274742300539,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8110349791140533,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
4,16,0.47421984692766994,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.810277592189154,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891536,fasttext
5,8,0.6854254584963688,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891537,fasttext
5,4,0.766866300964376,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
5,16,0.48151105218773926,fasttext
5,2,0.8102775921891536,fasttext
5,8,0.683498903122436,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
3,2,0.6709073848990408,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891539,fasttext
5,4,0.7654223620222702,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891536,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891537,fasttext
5,16,0.5161683482772644,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891541,fasttext
5,2,0.8102775921891537,fasttext
5,8,0.6870265186510832,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891537,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891539,fasttext
5,2,0.8102775921891536,fasttext
