min_samples,xi,tsne_n_components,NMI,embedding
52,0.45349788713663014,8,0.0,word2vec
39,0.6315413686127219,2,0.0,word2vec
51,0.75982143224236,2,0.0,word2vec
64,0.4612393204032174,2,0.0,word2vec
38,0.7499539997678377,2,0.0,word2vec
92,0.6762649241075495,4,0.0,word2vec
94,0.06233752690161189,8,0.0,word2vec
159,0.8938901006495075,16,0.0,word2vec
137,0.14519061700923386,4,0.0,word2vec
131,0.2947196957091678,16,0.0,word2vec
122,0.017194612442034157,16,0.0,word2vec
165,0.2693497501241767,4,0.0,word2vec
6,0.5511569176701178,16,0.0,word2vec
104,0.9054996096123512,4,0.0,word2vec
153,0.29084920496231204,16,0.0,word2vec
111,0.40944502808715677,4,0.0,word2vec
80,0.5468317201704821,4,0.0,word2vec
142,0.17269987586479776,16,0.0,word2vec
191,0.8226571588891112,8,0.0,word2vec
195,0.8112156523557907,8,0.0,word2vec
168,0.6800674015555438,8,0.0,word2vec
181,0.8932354561390441,8,0.0,word2vec
117,0.8092363945747272,16,0.0,word2vec
78,0.6937001213491207,4,0.0,word2vec
142,0.5990382409895045,8,0.0,word2vec
174,0.7455799755067344,4,0.0,word2vec
128,0.8460181028141359,8,0.0,word2vec
147,0.4493405681190782,16,0.0,word2vec
25,0.6283708216151533,8,0.0,word2vec
58,0.3696261497820985,8,0.0,word2vec
74,0.5515367579767647,2,0.0,word2vec
44,0.7416879471825508,2,0.0,word2vec
105,0.5190889280327037,8,0.0,word2vec
91,0.4958464230139452,8,0.0,word2vec
58,0.6116700883056954,2,0.0,word2vec
22,0.7075486112011046,8,0.0,word2vec
91,0.6690781579782196,4,0.0,word2vec
66,0.7658301604902036,16,0.0,word2vec
33,0.7784856707734208,2,0.0,word2vec
6,0.8648299152598987,2,0.0,word2vec
43,0.8612455942115063,2,0.0,word2vec
123,0.3604434330117938,2,0.0,word2vec
50,0.71825344967888,16,0.0,word2vec
31,0.641403348532744,4,0.0,word2vec
98,0.7910014141599062,2,0.0,word2vec
160,0.22578423949264603,4,0.0,word2vec
14,0.7472456458116535,16,0.0,word2vec
133,0.10237992693874787,8,0.0,word2vec
70,0.8298049657141724,2,0.0,word2vec
84,0.018004215182050837,2,0.5443432092541899,word2vec
84,0.020726415825724112,2,0.5443432092541899,word2vec
83,0.061437291895638124,2,0.6325238736888752,word2vec
83,0.023068564278559793,2,0.6370721365515049,word2vec
85,0.01940563142509547,2,0.5418316239651031,word2vec
82,0.013096139274635803,2,0.5104879668728203,word2vec
83,0.011999778814299247,2,0.516381394221665,word2vec
83,0.052576630608130906,2,0.6249714522927522,word2vec
87,0.058023257212351624,2,0.5825750870643689,word2vec
87,0.05041403094996437,2,0.701329567835355,word2vec
101,0.06543145674239938,2,0.6273777021436814,word2vec
111,0.060746224466220064,2,0.42854770701909534,word2vec
105,0.09274405722337878,2,0.4310999150120476,word2vec
99,0.055787912228098924,2,0.5777829558295707,word2vec
97,0.13981498608417195,2,0.4265902326825013,word2vec
