n_clusters,epsilon,tsne_n_components,NMI,embedding
4,0.6789122435027856,8,0.0,word2vec
4,0.7204867257983046,8,0.0,word2vec
4,0.6393196401912239,8,0.0,word2vec
4,0.5702109957635358,8,0.0,word2vec
4,0.5305557604723438,8,0.0,word2vec
4,0.7013697104428654,4,0.0,word2vec
4,0.4705586438139008,2,0.0,word2vec
4,0.6685168380887409,16,0.0,word2vec
4,0.6002705401982991,8,0.0,word2vec
4,0.7494293584596657,2,0.0,word2vec
4,0.808443699806879,16,0.0,word2vec
4,0.774546296891224,16,0.0,word2vec
4,0.6491768759587642,16,0.0,word2vec
4,0.7148265039219334,16,0.0,word2vec
4,0.6265363678969933,4,0.0,word2vec
4,0.4928343267553988,16,0.0,word2vec
4,0.757407216721529,8,0.0,word2vec
4,0.4056634105786262,2,0.0,word2vec
4,0.31912803142934254,16,0.0,word2vec
4,0.6915846616461772,8,0.0,word2vec
4,0.9659567796384032,2,0.0,word2vec
4,0.8900030416440261,2,0.0,word2vec
4,0.8399054360906442,2,0.0,word2vec
4,0.9347497840127633,2,0.0,word2vec
4,0.8749008501848725,4,0.0,word2vec
4,0.7937340157230758,2,0.0,word2vec
4,0.8188884936223524,16,0.0,word2vec
4,0.9895687886274218,8,0.0,word2vec
4,0.7247682249917778,2,0.0,word2vec
4,0.7865308430849345,2,0.0,word2vec
4,0.25449518231426466,16,0.0,word2vec
4,0.21092991605689204,16,0.0,word2vec
4,0.8588573102422569,16,0.0,word2vec
4,0.839253137875664,16,0.0,word2vec
4,0.7412485843326189,8,0.0,word2vec
4,0.9173153774690717,4,0.0,word2vec
4,0.6663605462027633,16,0.0,word2vec
4,0.5990836871326989,2,0.0,word2vec
4,0.44958788382999715,8,0.0,word2vec
4,0.558118567294917,16,0.0,word2vec
