bandwidth,tsne_n_components,NMI,embedding
0.9079634439844508,8,0.3448272900273588,BERT
0.48946509986683673,2,0.35629325449096677,BERT
0.37957858230692154,2,0.3538712609236124,BERT
0.8561000872475847,2,0.3704225638389157,BERT
0.9095529294487966,2,0.3731097875717327,BERT
0.9088979587809003,2,0.37307187387157914,BERT
0.8871760087816253,2,0.37206454671029715,BERT
0.8825176226337172,2,0.37188952121917435,BERT
0.9095581013243937,2,0.3731097875717327,BERT
0.889931135076452,2,0.37206454671029715,BERT
0.8645635043810763,2,0.37081271828625495,BERT
0.9095446438632266,2,0.3731097875717327,BERT
0.8266364668250099,2,0.3691429867767418,BERT
0.876435726618648,2,0.37184797823575017,BERT
0.8927685169863835,2,0.37220508945244535,BERT
0.8960721520697625,2,0.3722688605527024,BERT
0.9089285638746047,2,0.37307187387157914,BERT
0.8693786817345479,2,0.371399939936858,BERT
0.8910775977684111,16,0.34473401535561754,BERT
0.9091452208006411,2,0.3731097875717327,BERT
0.8490174544937561,2,0.36987656394584983,BERT
0.8769488817870861,2,0.37183765860439316,BERT
0.9093799891840488,2,0.3731097875717327,BERT
0.7547992676638549,2,0.3654786293826427,BERT
0.8589562107523001,4,0.34585665268793886,BERT
0.8935370557920311,2,0.3722050894524453,BERT
0.25510462961929947,2,0.3518020471967359,BERT
0.9087029575531078,2,0.37307187387157914,BERT
0.8814680779224766,2,0.37188952121917435,BERT
0.90961058668293,2,0.3731097875717327,BERT
0.8795545259728527,2,0.37178073436370207,BERT
0.6006461985892876,2,0.3600048647901538,BERT
0.7045345135564373,2,0.3636573879059183,BERT
0.8928312855531509,8,0.3448272900273588,BERT
0.8552689018619057,2,0.3704225638389157,BERT
0.9098099529360449,2,0.3731097875717327,BERT
0.6377669834842226,2,0.36155009840772806,BERT
0.895422099577881,2,0.372162013760461,BERT
0.9095763122053828,2,0.3731097875717327,BERT
0.8781491855693028,2,0.37177936962134656,BERT
0.9096203249393741,2,0.3731097875717327,BERT
0.8895739047719463,2,0.37206454671029715,BERT
0.8669203265087319,2,0.37112592848859866,BERT
0.8918674768788011,2,0.3721399728058428,BERT
0.7990222179437791,16,0.34473401535561754,word2vec
0.24762386639481596,4,0.34541140222914885,word2vec
0.664743471857323,16,0.34473401535561754,word2vec
0.17468052438408868,2,0.35073706453082437,word2vec
