k,nc,tsne_n_components,NMI,embedding
24,6,2,0.7493738336832804,word2vec
22,6,2,0.733714726228384,word2vec
25,6,2,0.7032790856076744,word2vec
26,6,2,0.7017866805675116,word2vec
22,6,2,0.733714726228384,word2vec
21,6,2,0.7283426362948803,word2vec
24,6,2,0.7493738336832804,word2vec
24,6,2,0.7493738336832804,word2vec
23,6,2,0.7403912357854976,word2vec
25,6,2,0.7032790856076744,word2vec
23,6,8,0.537749534811998,word2vec
24,6,2,0.7493738336832804,word2vec
26,6,2,0.7017866805675116,word2vec
23,6,4,0.6277462378821587,word2vec
40,6,2,0.6786607237967467,word2vec
19,6,2,0.6313297562025416,tfidf
37,6,8,0.3495070034520116,tfidf
48,6,16,0.22489725296409055,tfidf
30,6,2,0.5505850324827138,tfidf
24,6,16,0.21645366167868965,tfidf
22,6,8,0.2192434183924513,tfidf
39,6,4,0.30015398358837575,tfidf
48,6,4,0.2551580792374284,tfidf
19,6,16,0.19961463651346825,tfidf
24,6,2,0.6586072202077689,tfidf
7,6,2,0.5680639600027579,tfidf
12,6,2,0.5229635142995689,tfidf
17,6,2,0.5964594005900329,tfidf
32,6,2,0.5589554912013726,tfidf
12,6,2,0.5229635142995689,tfidf
27,6,2,0.5678720548333472,tfidf
14,6,2,0.6121842727408652,tfidf
36,6,8,0.34007284382290887,tfidf
6,6,4,0.12126864809534878,tfidf
24,6,2,0.6586072202077689,tfidf
26,6,2,0.5977836058242342,tfidf
21,6,2,0.5854092294568733,tfidf
17,6,2,0.5964594005900329,tfidf
32,6,2,0.5589554912013726,tfidf
24,6,2,0.6586072202077689,tfidf
29,6,2,0.5511112245262332,tfidf
24,6,4,0.28615905139611547,tfidf
42,6,16,0.21266638503005048,tfidf
32,6,8,0.3946365065950537,tfidf
21,6,2,0.5854092294568733,tfidf
25,6,2,0.5952075486860081,tfidf
16,6,2,0.5856023493011351,tfidf
21,6,2,0.5854092294568733,tfidf
29,6,8,0.24495938572374154,tfidf
9,6,16,0.0734811092740949,tfidf
23,6,2,0.6655438227329643,tfidf
23,6,2,0.6655438227329643,tfidf
19,6,2,0.6313297562025416,tfidf
35,6,2,0.5636657580879851,tfidf
27,6,4,0.3578316318972053,tfidf
23,6,16,0.16865707515915973,tfidf
24,6,2,0.6586072202077689,tfidf
19,6,2,0.6313297562025416,tfidf
30,6,2,0.5505850324827138,tfidf
22,6,2,0.5694795486663174,tfidf
25,6,2,0.5952075486860081,tfidf
28,6,8,0.40056075131042673,tfidf
15,6,2,0.6359315014100948,tfidf
19,6,2,0.6313297562025416,tfidf
13,6,4,0.3174120614785468,tfidf
34,6,2,0.5424885526711398,tfidf
23,6,2,0.6655438227329643,tfidf
23,6,2,0.6655438227329643,tfidf
26,6,2,0.5977836058242342,tfidf
22,6,2,0.5694795486663174,tfidf
18,6,2,0.5996606018905702,tfidf
21,6,2,0.5854092294568733,tfidf
27,6,16,0.1556580916941836,tfidf
50,6,2,0.6645394187556526,tfidf
50,6,2,0.6645394187556526,tfidf
50,6,8,0.37524412092551696,tfidf
44,6,2,0.6594188984314184,tfidf
46,6,2,0.6747196485724756,tfidf
46,6,2,0.6747196485724756,tfidf
45,6,2,0.6785362630729036,tfidf
46,6,2,0.6747196485724756,tfidf
46,6,2,0.6747196485724756,tfidf
46,6,4,0.28766315819899224,tfidf
40,6,2,0.6655316572151332,tfidf
47,6,2,0.6634103120806415,tfidf
44,6,2,0.6594188984314184,tfidf
45,6,2,0.6785362630729036,tfidf
45,6,2,0.6785362630729036,tfidf
45,6,2,0.6785362630729036,tfidf
45,6,2,0.6785362630729036,tfidf
42,6,2,0.6742839286313483,tfidf
38,6,16,0.21310766244684842,tfidf
44,6,2,0.6594188984314184,tfidf
48,6,2,0.6599346839261345,tfidf
41,6,8,0.33769127618171907,tfidf
45,6,2,0.6785362630729036,tfidf
45,6,2,0.6785362630729036,tfidf
43,6,2,0.6696566875251944,tfidf
45,6,2,0.6785362630729036,tfidf
48,6,2,0.6599346839261345,tfidf
45,6,2,0.6785362630729036,tfidf
39,6,4,0.30015398358837575,tfidf
43,6,2,0.6696566875251944,tfidf
48,6,2,0.6599346839261345,tfidf
45,6,2,0.6785362630729036,tfidf
41,6,2,0.6731874800965609,tfidf
45,6,2,0.6785362630729036,tfidf
43,6,2,0.6696566875251944,tfidf
45,6,2,0.6785362630729036,tfidf
49,6,2,0.6626651525118588,tfidf
47,6,2,0.6634103120806415,tfidf
41,6,16,0.2212187395964998,tfidf
45,6,2,0.6785362630729036,tfidf
42,6,2,0.6742839286313483,tfidf
47,6,8,0.3604765196522742,tfidf
44,6,2,0.6594188984314184,tfidf
45,6,2,0.6785362630729036,tfidf
49,6,2,0.6626651525118588,tfidf
45,6,2,0.6785362630729036,tfidf
40,6,2,0.6655316572151332,tfidf
43,6,2,0.6696566875251944,tfidf
47,6,2,0.6634103120806415,tfidf
42,6,2,0.6742839286313483,tfidf
45,6,4,0.29203067533311666,tfidf
44,6,2,0.6594188984314184,tfidf
49,6,2,0.6626651525118588,tfidf
45,6,2,0.6785362630729036,tfidf
46,6,2,0.6747196485724756,tfidf
43,6,2,0.6696566875251944,tfidf
47,6,2,0.6634103120806415,tfidf
44,6,2,0.6594188984314184,tfidf
45,6,2,0.6785362630729036,tfidf
42,6,16,0.21266638503005048,tfidf
40,6,2,0.6655316572151332,tfidf
48,6,2,0.6599346839261345,tfidf
46,6,2,0.6747196485724756,tfidf
45,6,2,0.6785362630729036,tfidf
44,6,2,0.6594188984314184,tfidf
47,6,2,0.6634103120806415,tfidf
45,6,2,0.6785362630729036,tfidf
43,6,2,0.6696566875251944,tfidf
48,6,8,0.381130958893304,tfidf
46,6,2,0.6747196485724756,tfidf
42,6,2,0.6742839286313483,tfidf
37,6,2,0.5850575297870559,tfidf
41,6,4,0.28809638569228296,tfidf
45,6,2,0.6785362630729036,tfidf
44,6,2,0.6594188984314184,tfidf
45,6,2,0.6785362630729036,tfidf
47,6,2,0.6634103120806415,tfidf
46,6,2,0.6747196485724756,tfidf
49,6,2,0.6626651525118588,tfidf
43,6,2,0.6696566875251944,tfidf
44,6,2,0.6594188984314184,tfidf
46,6,2,0.6747196485724756,tfidf
45,6,2,0.6785362630729036,tfidf
45,6,2,0.6785362630729036,tfidf
43,6,2,0.6696566875251944,tfidf
47,6,2,0.6634103120806415,tfidf
44,6,2,0.6594188984314184,tfidf
45,6,16,0.19550323610426473,tfidf
42,6,2,0.6742839286313483,tfidf
10,6,2,0.5347323542842715,tfidf
48,6,2,0.6599346839261345,tfidf
46,6,8,0.3727243130169194,tfidf
44,6,2,0.6594188984314184,tfidf
45,6,2,0.6785362630729036,tfidf
47,6,2,0.6634103120806415,tfidf
43,6,2,0.6696566875251944,tfidf
45,6,2,0.6785362630729036,tfidf
46,6,2,0.6747196485724756,tfidf
48,6,2,0.6599346839261345,tfidf
44,6,2,0.6594188984314184,tfidf
41,6,2,0.6731874800965609,tfidf
43,6,2,0.6696566875251944,tfidf
47,6,4,0.2553158662241375,tfidf
45,6,2,0.6785362630729036,tfidf
46,6,2,0.6747196485724756,tfidf
45,6,2,0.6785362630729036,tfidf
44,6,2,0.6594188984314184,tfidf
46,6,2,0.6747196485724756,tfidf
45,6,2,0.6785362630729036,tfidf
42,6,2,0.6742839286313483,tfidf
47,6,2,0.6634103120806415,tfidf
43,6,2,0.6696566875251944,tfidf
44,6,2,0.6594188984314184,tfidf
45,6,2,0.6785362630729036,tfidf
46,6,2,0.6747196485724756,tfidf
45,6,2,0.6785362630729036,tfidf
44,6,2,0.6594188984314184,tfidf
47,6,2,0.6634103120806415,tfidf
49,6,16,0.23349532088155311,tfidf
46,6,2,0.6747196485724756,tfidf
43,6,2,0.6696566875251944,tfidf
45,6,2,0.6785362630729036,tfidf
44,6,8,0.36251185010239473,tfidf
45,6,2,0.6785362630729036,tfidf
45,6,2,0.6785362630729036,tfidf
46,6,2,0.6747196485724756,tfidf
47,6,2,0.6634103120806415,tfidf
44,6,2,0.6594188984314184,tfidf
43,6,2,0.6696566875251944,tfidf
48,6,2,0.6599346839261345,tfidf
42,6,2,0.6742839286313483,tfidf
46,6,2,0.6747196485724756,tfidf
44,6,2,0.6594188984314184,tfidf
45,6,2,0.6785362630729036,tfidf
45,6,2,0.6785362630729036,tfidf
46,6,2,0.6747196485724756,tfidf
45,6,2,0.6785362630729036,tfidf
47,6,2,0.6634103120806415,tfidf
44,6,4,0.29175489025557033,tfidf
43,6,2,0.6696566875251944,tfidf
45,6,2,0.6785362630729036,tfidf
46,6,2,0.6747196485724756,tfidf
9,6,8,0.21724743838742513,fasttext
37,6,8,0.5457255427707802,fasttext
10,6,16,0.09673191343146935,fasttext
28,6,16,0.14368498292721968,fasttext
18,6,4,0.7492928472451388,fasttext
12,6,16,0.3419973452704036,fasttext
40,6,2,0.6976157844631027,fasttext
42,6,2,0.6787843646970046,fasttext
12,6,8,0.6012976496971548,fasttext
33,6,2,0.7374498089371988,fasttext
50,6,4,0.6319551071867604,fasttext
25,6,4,0.5912320270898203,fasttext
22,6,4,0.7331873460740197,fasttext
20,6,2,0.6903193093221978,fasttext
30,6,4,0.5782226538203856,fasttext
33,6,2,0.7374498089371988,fasttext
17,6,4,0.7158696580901455,fasttext
46,6,2,0.6641856416377954,fasttext
17,6,2,0.7063296701308001,fasttext
5,6,4,0.4737614912344353,fasttext
35,6,4,0.6463103970189668,fasttext
34,6,2,0.7416527308552343,fasttext
31,6,2,0.7363403311587462,fasttext
