min_cluster_size,min_samples,umap_n_components,NMI,embedding
174,5,4,0.7326195789366184,tfidf
179,5,4,0.7326195789366184,tfidf
176,5,2,0.7043306471831406,tfidf
191,15,4,0.46021863685472875,tfidf
179,5,4,0.7326195789366184,tfidf
179,18,4,0.46021863685472875,tfidf
171,23,4,0.46021863685472875,tfidf
182,5,4,0.7326195789366184,tfidf
191,15,4,0.46021863685472875,tfidf
184,5,4,0.7326195789366184,tfidf
183,20,8,0.45773391979045364,tfidf
190,14,4,0.46021863685472875,tfidf
179,83,16,0.46021863685472875,tfidf
182,32,4,0.46021863685472875,tfidf
171,5,4,0.7326195789366184,tfidf
167,5,4,0.7326195789366184,tfidf
167,12,4,0.7078135868473611,tfidf
186,25,4,0.46021863685472875,tfidf
179,72,4,0.46021863685472875,tfidf
165,5,4,0.7326195789366184,tfidf
165,13,4,0.7036472740779426,tfidf
170,10,4,0.7176366729676941,tfidf
189,5,4,0.7326195789366184,tfidf
177,19,4,0.46021863685472875,tfidf
189,5,4,0.7326195789366184,tfidf
181,10,4,0.7176366729676941,tfidf
185,5,4,0.7326195789366184,tfidf
195,14,4,0.46021863685472875,tfidf
172,91,4,0.46021863685472875,tfidf
167,10,4,0.7176366729676941,tfidf
46,16,2,0.6025947741663384,tfidf
177,5,4,0.7326195789366184,tfidf
183,22,4,0.46021863685472875,tfidf
163,9,4,0.7219707794912474,tfidf
189,5,4,0.7326195789366184,tfidf
190,12,4,0.7078135868473611,tfidf
174,9,4,0.7219707794912474,tfidf
187,5,4,0.7326195789366184,tfidf
180,18,4,0.46021863685472875,tfidf
169,14,8,0.4285529866216537,tfidf
193,9,4,0.7219707794912474,tfidf
24,5,16,0.5340701546323489,tfidf
184,150,4,0.46021863685472875,tfidf
170,14,4,0.711978665511545,tfidf
185,5,4,0.7326195789366184,tfidf
175,9,4,0.7219707794912474,tfidf
187,12,4,0.7078135868473611,tfidf
179,5,4,0.7326195789366184,tfidf
68,17,4,0.4056011010356597,tfidf
175,9,4,0.7219707794912474,tfidf
182,19,4,0.46021863685472875,tfidf
165,13,4,0.7036472740779426,tfidf
190,9,4,0.7219707794912474,tfidf
171,25,4,0.46021863685472875,tfidf
178,5,4,0.7326195789366184,tfidf
177,5,4,0.7326195789366184,tfidf
184,9,4,0.7219707794912474,tfidf
174,13,4,0.7036472740779426,tfidf
181,5,4,0.7326195789366184,tfidf
195,16,2,0.4472525111571311,tfidf
187,9,4,0.7219707794912474,tfidf
167,11,4,0.7176366729676941,tfidf
162,20,4,0.46021863685472875,tfidf
177,15,4,0.46021863685472875,tfidf
190,5,4,0.7326195789366184,tfidf
185,5,4,0.7326195789366184,tfidf
189,9,4,0.7219707794912474,tfidf
180,5,4,0.7326195789366184,tfidf
173,12,8,0.6667076818783598,tfidf
192,9,4,0.7219707794912474,tfidf
183,12,4,0.7078135868473611,tfidf
170,8,4,0.7224784455797587,tfidf
177,18,16,0.46021863685472875,tfidf
187,5,4,0.7326195789366184,tfidf
186,111,4,0.46021863685472875,tfidf
189,5,4,0.7326195789366184,tfidf
182,9,4,0.7219707794912474,tfidf
195,14,4,0.46021863685472875,tfidf
179,5,4,0.7326195789366184,tfidf
188,12,4,0.7078135868473611,tfidf
175,8,4,0.7224784455797587,tfidf
172,16,4,0.46021863685472875,tfidf
167,9,4,0.7219707794912474,tfidf
184,5,4,0.7326195789366184,tfidf
186,8,4,0.7224784455797587,tfidf
192,5,4,0.7326195789366184,tfidf
90,12,4,0.5972245424225926,tfidf
180,5,4,0.7326195789366184,tfidf
184,11,4,0.7176366729676941,tfidf
177,15,4,0.46021863685472875,tfidf
172,9,4,0.7219707794912474,tfidf
191,8,2,0.4472525111571311,tfidf
180,5,4,0.7326195789366184,tfidf
187,12,4,0.7078135868473611,tfidf
177,5,4,0.7326195789366184,tfidf
180,8,4,0.7224784455797587,tfidf
183,5,4,0.7326195789366184,tfidf
169,12,4,0.7078135868473611,tfidf
118,9,4,0.6443456850906865,tfidf
175,5,4,0.7326195789366184,tfidf
163,63,4,0.46021863685472875,tfidf
183,16,4,0.46021863685472875,tfidf
172,12,4,0.7078135868473611,tfidf
156,84,4,0.7754219867303539,fasttext
107,142,4,0.7754219867303539,fasttext
100,119,4,0.7754219867303539,fasttext
113,100,8,0.7766720606197566,fasttext
48,52,16,0.7766720606197566,fasttext
41,161,2,0.7620697969907038,fasttext
85,189,4,0.7754219867303539,fasttext
177,136,2,0.7765273283031227,fasttext
69,51,16,0.7766720606197566,fasttext
132,17,16,0.7766720606197566,fasttext
7,83,8,0.7766720606197566,fasttext
48,38,8,0.7766720606197566,fasttext
135,61,16,0.7766720606197566,fasttext
5,98,8,0.7766720606197566,fasttext
50,12,16,0.7766720606197566,fasttext
122,70,8,0.7766720606197566,fasttext
74,109,16,0.7766720606197566,fasttext
32,40,8,0.7766720606197566,fasttext
193,86,2,0.7765273283031227,fasttext
85,24,16,0.7766720606197566,fasttext
151,62,8,0.7766720606197566,fasttext
72,42,16,0.7766720606197566,fasttext
70,54,16,0.7766720606197566,fasttext
26,121,16,0.7766720606197566,fasttext
60,35,16,0.7766720606197566,fasttext
115,73,16,0.7766720606197566,fasttext
88,100,8,0.7766720606197566,fasttext
95,5,2,0.7765273283031227,fasttext
59,50,16,0.7766720606197566,fasttext
21,88,4,0.7754219867303539,fasttext
162,24,8,0.7766720606197566,fasttext
134,12,16,0.7766720606197566,fasttext
129,24,16,0.7766720606197566,fasttext
