n_clusters,epsilon,umap_n_components,NMI,embedding
6,0.876651334184189,2,0.0,BERT
6,0.3235550147964469,2,0.0,BERT
6,0.522938878726073,16,0.0,BERT
6,0.24110767596887386,8,0.0,BERT
6,0.13733819299518082,2,0.0,BERT
6,0.6344761343355096,4,0.0,BERT
6,0.9665621714026468,16,0.0,BERT
6,0.3512709371230059,16,0.0,BERT
6,0.10230413407018091,16,0.0,BERT
6,0.22451447800217766,16,0.0,BERT
6,0.4187863610554269,16,0.0,BERT
6,0.058018151606153305,2,0.0,BERT
6,0.37162806852335367,16,0.0,BERT
6,0.7080352409266049,8,0.0,BERT
6,0.6713734776615984,2,0.0,BERT
6,0.756567693927942,16,0.0,BERT
6,0.2799714896506035,8,0.0,word2vec
6,0.657992161089024,4,0.0,word2vec
6,0.020437029281800183,8,0.0,word2vec
6,0.369438600905386,16,0.0,word2vec
6,0.9783262110352084,2,0.0,word2vec
6,0.9136858561378267,8,0.0,word2vec
6,0.733239357437646,4,0.0,word2vec
6,0.07623278601124354,16,0.0,word2vec
6,0.12447680744864659,2,0.0,word2vec
6,0.2537803366709006,4,0.0,word2vec
6,0.44493161923255065,8,0.0,word2vec
6,0.6133525488380481,4,0.0,word2vec
6,0.573852422987799,4,0.0,word2vec
6,0.2903954132922986,8,0.0,word2vec
6,0.4647788849369874,4,0.0,word2vec
6,0.7098016862824476,8,0.0,word2vec
6,0.27897287798556764,2,0.0,word2vec
6,0.17743634429077304,16,0.0,word2vec
6,0.39031439103230775,4,0.0,word2vec
6,0.5313337932449775,8,0.0,word2vec
6,0.19125511566339548,4,0.0,word2vec
6,0.023825529155082015,8,0.0,word2vec
6,0.07207771914826128,8,0.0,word2vec
6,0.0349990822580548,8,0.0,word2vec
6,0.17930680438521499,8,0.0,word2vec
6,0.38186642509879676,8,0.0,word2vec
6,0.12749913201533145,2,0.0,word2vec
6,0.296237460224336,16,0.0,word2vec
6,0.02176152119960817,8,0.0,word2vec
6,0.3126945550923012,16,0.0,word2vec
6,0.35939613569270007,4,0.0,word2vec
