perplexity,MinPts,probability,umap_n_components,NMI,embedding
1,1,0.9970051662634423,16,0.3474405091007696,word2vec
22,1,0.9970579610628058,16,0.4250175972286361,word2vec
9,6,0.9970544511379548,16,0.7083102601333863,word2vec
10,7,0.9970420041006229,16,0.6093903111974258,word2vec
9,6,0.997063633957881,16,0.7083102601333863,word2vec
10,11,0.9970693065418836,16,0.6950054024322302,word2vec
13,5,0.99708301436613,16,0.43498219865466264,word2vec
8,11,0.9970645360460061,16,0.6523288476408438,word2vec
13,18,0.9970827690605141,8,0.5885952816673555,word2vec
7,5,0.9970568041491057,2,0.5565577793977202,word2vec
2,11,0.9970670926126708,16,0.0,word2vec
9,10,0.997068044033781,16,0.6673181924263234,word2vec
13,5,0.9970759691809558,16,0.43498219865466264,word2vec
7,14,0.997049664150362,16,0.5932223471918073,word2vec
11,10,0.9970700731334574,16,0.5975240393759405,word2vec
14,7,0.9970611433030451,16,0.41516899991117195,word2vec
4,12,0.9970819426125032,16,0.274814231212311,word2vec
10,17,0.9970571057357024,8,0.664088735606428,word2vec
22,3,0.997070843502902,2,0.6149541673292095,word2vec
15,21,0.9970440037081026,4,0.5968154403188091,word2vec
6,9,0.9970352998083196,16,0.6100567478380842,word2vec
9,30,0.9970675280719058,16,0.25034194926260783,word2vec
9,6,0.9970640818118164,16,0.7083102601333863,word2vec
12,6,0.9970759416590813,16,0.43359003237237,word2vec
18,3,0.9970637496131224,16,0.4250175972286361,word2vec
8,7,0.9970547993978455,16,0.6708952370235864,word2vec
3,4,0.9970894303141768,8,0.4611358817016091,word2vec
15,9,0.9970613479941488,2,0.5962447073454535,word2vec
11,13,0.9970722549990746,16,0.6928422541935633,word2vec
5,8,0.9970532065869476,4,0.550611203634886,word2vec
16,16,0.9970639575306302,16,0.603969406226646,word2vec
11,13,0.9970725093992694,16,0.6928422541935633,word2vec
30,14,0.9970773278397547,16,0.4250175972286361,word2vec
9,9,0.9970704254221274,16,0.680103586967057,word2vec
6,12,0.9970596007952983,16,0.5626815925090326,word2vec
11,2,0.9970656679068682,16,0.4388150359713225,word2vec
7,6,0.9970517903565618,4,0.6529819970604274,word2vec
10,15,0.9970600894173811,8,0.6355531254420282,word2vec
12,8,0.9970731429750249,2,0.5845907892202842,word2vec
8,4,0.9970795937019142,16,0.6227505383755167,word2vec
14,11,0.9970562134309632,16,0.6185143004527863,word2vec
12,13,0.9970715596137983,16,0.702303093246767,word2vec
12,20,0.9970735257036003,16,0.6749670296119731,word2vec
10,13,0.997065878609876,16,0.6811934782409058,word2vec
9,16,0.9970860278794736,16,0.5995091328227057,word2vec
17,24,0.9970778160142092,16,0.6025710853839786,word2vec
13,10,0.9970695821549972,16,0.6157398813981507,word2vec
20,6,0.997063310921739,16,0.4250175972286361,word2vec
6,18,0.9970796763015148,16,0.3045120573200511,word2vec
8,12,0.9970677666952955,8,0.6136536970701935,word2vec
14,10,0.9970731803468247,4,0.6156762780128187,word2vec
11,14,0.9970719025187876,16,0.6872513929832308,word2vec
12,13,0.99707595981339,16,0.702303093246767,word2vec
12,14,0.997059278932102,16,0.6997496766135916,word2vec
12,17,0.9970590936651131,16,0.6996583395783115,word2vec
13,17,0.9970575036975019,16,0.5951276668711393,word2vec
12,19,0.9970479969455722,16,0.6746171860518364,word2vec
9,15,0.9970592617402384,2,0.6579895132026389,word2vec
15,24,0.9970627122433113,16,0.5970821655856482,word2vec
26,17,0.9970565916495706,16,0.4250175972286361,word2vec
16,4,0.9970525355047662,16,0.4250175972286361,word2vec
10,11,0.9970672405150943,16,0.6950054024322302,word2vec
12,14,0.9970617230573681,16,0.6997496766135916,word2vec
12,16,0.9970614725149509,16,0.69822740888005,word2vec
14,14,0.9970546121175268,16,0.6024410486056647,word2vec
13,8,0.9970646353053205,16,0.46367464303913897,word2vec
7,2,0.9970486877939747,16,0.6076590875708503,word2vec
10,18,0.9970586693559083,8,0.6592691762288936,word2vec
11,7,0.9970689418639359,16,0.6125121690558557,word2vec
8,12,0.9970621367418016,4,0.6283441337661344,word2vec
17,19,0.9970550039688924,2,0.5853774580173052,word2vec
12,15,0.9970615907113543,16,0.6997496766135916,word2vec
14,15,0.9970649636862107,16,0.6007198564418573,word2vec
