bandwidth,umap_n_components,NMI,embedding
0.890457865172499,16,0.7332434148432804,BERT
0.8173244746110319,16,0.6856356436721759,BERT
0.8634536094735169,16,0.7332855214944972,BERT
0.8690235280352154,16,0.7332855214944972,BERT
0.8497699640201,16,0.7284000910843782,BERT
0.839688085010786,16,0.716204774010449,BERT
0.8823919214956573,16,0.7332640805085437,BERT
0.8093754819853748,16,0.6991046906621745,BERT
0.907466447138169,16,0.7313281331084435,BERT
0.7800030413073448,16,0.6869348612075781,BERT
0.8610197754390536,16,0.7336328062168522,BERT
0.8300171797164557,4,0.7301512183556844,BERT
0.8651098901105598,16,0.7332855214944972,BERT
0.8878583613178902,16,0.7332434148432804,BERT
0.8534772757123381,16,0.7284000910843782,BERT
0.8670242408660832,16,0.7332855214944972,BERT
0.8391141325157798,16,0.716204774010449,BERT
0.8921833483211674,16,0.7332434148432804,BERT
0.8239710765454785,16,0.6975254401189106,BERT
0.4211556650059086,16,0.5636644528942172,BERT
0.8042904046425141,2,0.6843398550316347,BERT
0.7561605247484433,8,0.6840210186321168,BERT
0.8616016532356963,16,0.7332855214944972,BERT
0.873035612866893,16,0.7330818218137439,BERT
0.8492273388645061,16,0.7283790807636504,BERT
0.9082308165902221,16,0.7311253949143495,BERT
0.8850532502055803,16,0.7332640805085437,BERT
0.5488995978336975,16,0.6344924671313219,BERT
0.8337032158203292,16,0.7159600365575551,BERT
0.8586518222459798,16,0.7336328062168522,BERT
0.8194982156770706,16,0.6839285391137422,BERT
0.7919850137768497,16,0.6857941537443226,BERT
0.8557749523252217,16,0.7285685738249319,BERT
0.8644218742455082,16,0.7332855214944972,BERT
0.8826372163805504,16,0.7332640805085437,BERT
0.8452069855614712,16,0.7119014240454812,BERT
0.8694378823297821,16,0.7332855214944972,BERT
0.8932609783711145,16,0.7332434148432804,BERT
0.8362755949764046,16,0.7159600365575551,BERT
0.8155905852212484,16,0.685635643672176,BERT
0.3250637807945343,16,0.5217505535375365,BERT
